"Search Key","Name","Description","Account Type","Account Sign","Document Controlled","Summary Level","Default Account","Parent_Value","Element Level","Operands","Show Value Condition","Title Node"
28200,"Amortización acumulada de las inversiones inmobiliarias","Amortización acumulada de las inversiones inmobiliarias","Asset","Debit","Y","N","A_ACCUMDEPRECIATION_ACCT",2820,"S",,"Algebraic","N"
"292B","Deterioro de valor de las inversiones inmobiliarias","Deterioro de valor de las inversiones inmobiliarias","Asset","Debit","N","Y",,"A.A.III.2","C",,"Algebraic","N"
2921,"Deterioro de valor de construcciones","Deterioro de valor de construcciones","Asset","Debit","N","Y",,"292B","D",,"Algebraic","N"
29210,"Deterioro de valor de construcciones","Deterioro de valor de construcciones","Asset","Debit","N","N",,2921,"S",,"Algebraic","N"
"A.A.IV","IV. INVERSIONES EN EMPRESAS DEL GRUPO Y ASOCIADAS A LARGO PLAZO","IV. INVERSIONES EN EMPRESAS DEL GRUPO Y ASOCIADAS A LARGO PLAZO","Asset","Debit","N","Y",,"A.A","E",,"Algebraic","N"
"A.A.IV.1","1. INSTRUMENTOS DE PATRIMONIO","1. INSTRUMENTOS DE PATRIMONIO","Asset","Debit","N","Y",,"A.A.IV","E",,"Algebraic","N"
"240A","Participaciones a largo plazo en partes vinculadas","Participaciones a largo plazo en partes vinculadas","Asset","Debit","N","Y",,"A.A.IV.1","C",,"Algebraic","N"
2403,"Participaciones a largo plazo en empresas del grupo","Participaciones a largo plazo en empresas del grupo","Asset","Debit","N","Y",,"240A","D",,"Algebraic","N"
24030,"Participaciones a largo plazo en empresas del grupo","Participaciones a largo plazo en empresas del grupo","Asset","Debit","N","N",,2403,"S",,"Algebraic","N"
2404,"Participaciones a largo plazo en empresas asociadas","Participaciones a largo plazo en empresas asociadas","Asset","Debit","N","Y",,"240A","D",,"Algebraic","N"
24040,"Participaciones a largo plazo en empresas asociadas","Participaciones a largo plazo en empresas asociadas","Asset","Debit","N","N",,2404,"S",,"Algebraic","N"
"249A","Desembolsos pendientes sobre participaciones a largo plazo en partes vinculadas","Desembolsos pendientes sobre participaciones a largo plazo en partes vinculadas","Asset","Debit","N","Y",,"A.A.IV.1","C",,"Algebraic","N"
2493,"Desembolsos pendientes sobre participaciones a largo plazo en em presas del grupo","Desembolsos pendientes sobre participaciones a largo plazo en em presas del grupo","Asset","Debit","N","Y",,"249A","D",,"Algebraic","N"
24930,"Desembolsos pendientes sobre participaciones a largo plazo en em presas del grupo","Desembolsos pendientes sobre participaciones a largo plazo en em presas del grupo","Asset","Debit","N","N",,2493,"S",,"Algebraic","N"
2494,"Desembolsos pendientes sobre participaciones a largo plazo en empresas asociadas","Desembolsos pendientes sobre participaciones a largo plazo en empresas asociadas","Asset","Debit","N","Y",,"249A","D",,"Algebraic","N"
24940,"Desembolsos pendientes sobre participaciones a largo plazo en empresas asociadas","Desembolsos pendientes sobre participaciones a largo plazo en empresas asociadas","Asset","Debit","N","N",,2494,"S",,"Algebraic","N"
293,"Deterioro de valor de participaciones a largo plazo en partes vinculadas","Deterioro de valor de participaciones a largo plazo en partes vinculadas","Asset","Debit","N","Y",,"A.A.IV.1","C",,"Algebraic","N"
2930,"Deterioro de valor de participaciones a largo plazo en partes vinculadas","Deterioro de valor de participaciones a largo plazo en partes vinculadas","Asset","Debit","N","Y",,293,"D",,"Algebraic","N"
29300,"Deterioro de valor de participaciones a largo plazo en partes vinculadas","Deterioro de valor de participaciones a largo plazo en partes vinculadas","Asset","Debit","N","N",,2930,"S",,"Algebraic","N"
2933,"Deterioro de valor de participaciones a largo plazo en empresas del grupo","Deterioro de valor de participaciones a largo plazo en empresas del grupo","Asset","Debit","N","Y",,293,"D",,"Algebraic","N"
29330,"Deterioro de valor de participaciones a largo plazo en empresas del grupo","Deterioro de valor de participaciones a largo plazo en empresas del grupo","Asset","Debit","N","N",,2933,"S",,"Algebraic","N"
2934,"Deterioro de valor de participaciones a largo plazo en empresas asociadas","Deterioro de valor de participaciones a largo plazo en empresas asociadas","Asset","Debit","N","Y",,293,"D",,"Algebraic","N"
29340,"Deterioro de valor de participaciones a largo plazo en empresas asociadas","Deterioro de valor de participaciones a largo plazo en empresas asociadas","Asset","Debit","N","N",,2934,"S",,"Algebraic","N"
"A.A.IV.2","2. CREDITOS A EMPRESAS","2. CREDITOS A EMPRESAS","Asset","Debit","N","Y",,"A.A.IV","E",,"Algebraic","N"
"242A","Créditos a largo plazo a partes vinculadas","Créditos a largo plazo a partes vinculadas","Asset","Debit","N","Y",,"A.A.IV.2","C",,"Algebraic","N"
2423,"Créditos a largo plazo a empresas del grupo","Créditos a largo plazo a empresas del grupo","Asset","Debit","N","Y",,"242A","D",,"Algebraic","N"
24230,"Créditos a largo plazo a empresas del grupo","Créditos a largo plazo a empresas del grupo","Asset","Debit","N","N",,2423,"S",,"Algebraic","N"
2424,"Créditos a largo plazo a empresas asociadas","Créditos a largo plazo a empresas asociadas","Asset","Debit","N","Y",,"242A","D",,"Algebraic","N"
24240,"Créditos a largo plazo a empresas asociadas","Créditos a largo plazo a empresas asociadas","Asset","Debit","N","N",,2424,"S",,"Algebraic","N"
"295A","Deterioro de valor de créditos a largo plazo a partes vinculadas","Deterioro de valor de créditos a largo plazo a partes vinculadas","Asset","Debit","N","Y",,"A.A.IV.2","C",,"Algebraic","N"
